siteID,depNO2,siteID_INT,p_XCOORD,p_YCOORD,pA_landuseArea_HDres_100_sum,pA_landuseArea_HDres_300_sum,pA_landuseArea_HDres_500_sum,pA_landuseArea_HDres_1000_sum,pA_landuseArea_HDres_5000_sum,pA_landuseArea_Industry_1000_sum,pA_landuseArea_Industry_5000_sum,pA_landuseArea_LDres_300_sum,pA_landuseArea_LDres_500_sum,pA_landuseArea_LDres_1000_sum,pA_landuseArea_LDres_5000_sum,pA_landuseArea_Natural_5000_sum,pA_landuseArea_UrbGreen_1000_sum,pA_landuseArea_UrbGreen_5000_sum,pA_landuseArea_Industry_500_sum,pA_landuseArea_LDres_100_sum,pA_landuseArea_Natural_500_sum,pA_landuseArea_Natural_1000_sum,pA_landuseArea_UrbGreen_500_sum,pA_landuseArea_UrbGreen_300_sum,pA_landuseArea_Industry_100_sum,pA_landuseArea_Industry_300_sum,pA_landuseArea_UrbGreen_100_sum,pA_landuseArea_Natural_300_sum,pA_landuseArea_Port_5000_sum,pA_landuseArea_Natural_100_sum,pA_landuseArea_Port_300_sum,pA_landuseArea_Port_500_sum,pA_landuseArea_Port_1000_sum,pA_EmissionAreaWt_All_100_wtv,pA_EmissionAreaWt_All_300_wtv,pA_EmissionAreaWt_All_500_wtv,pA_EmissionAreaWt_All_1000_wtv,pA_EmissionAreaWt_All_5000_wtv,pB_rdLength_major_25_sum,pB_rdLength_major_50_sum,pB_rdLength_major_100_sum,pB_rdLength_major_300_sum,pB_rdLength_major_500_sum,pB_rdLength_major_1000_sum,pB_rdLength_minor_25_sum,pB_rdLength_minor_50_sum,pB_rdLength_minor_100_sum,pB_rdLength_minor_300_sum,pB_rdLength_minor_500_sum,pB_rdLength_minor_1000_sum,pC_EmissionPoint_Misc_5000_sum,pC_EmissionPoint_Waste_5000_sum,pC_EmissionPoint_Misc_500_sum,pC_EmissionPoint_Misc_1000_sum,pC_EmissionPoint_Misc_300_sum,pC_EmissionPoint_Misc_100_sum,pC_EmissionPoint_Power_5000_sum,pC_EmissionPoint_Waste_1000_sum,pC_EmissionPoint_Waste_500_sum,pC_EmissionPoint_Chemical_5000_sum,pC_EmissionPoint_Waste_300_sum,pD_EmissionAreaVal_NOxEmission_val,pE_majorRdDist_none_dist,pE_majorRdDist_none_invd,pE_majorRdDist_none_invsq,pF_EmPoint_Emission_valinvd,pF_EmPoint_Emission_valinvsq,pG_EmAreaRaster_raster_val
BO03,40.3,1,370762.84970000014,407927.26860000007,31415.50957353956,242171.98570761364,369566.18711302703,755724.2211880365,1973236.0399385495,184638.19427090973,4082161.8295222092,40570.098068993866,415829.8797389969,2179788.105074467,39418409.158536136,448842.58348785056,21437.940723425527,10704950.07845409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5523684011516132,31.48244567976055,87.90493195809918,343.9847780532853,5280.331634258603,39.782315334056065,94.38870176017775,196.05808410283325,1185.5234647942532,2242.789511927267,10333.23376266683,52.353101704074774,281.85068845305886,1161.0878707248949,9890.32966223014,22056.338780090882,71251.79904426943,0.16990451,0.55808627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2756290435791,14.855598502681092,0.06731468946333755,0.004531267417545567,9.635556724006532e-05,5.2107738647124015e-08,28.2756290435791
BO08,27.9,2,371351.81290000025,409092.66039999947,31415.509573571137,282742.0837031876,718248.786726012,1690344.7109534005,1973236.0399385495,545361.414551183,3649555.90989488,0.0,45824.561498874464,905528.3771430459,39733407.616180465,1209571.4161159564,353.9582634800597,11533021.05516643,21322.718603856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5198013592804385,58.167172259570926,153.13159624172053,537.4737936356853,5054.417384322725,0.0,85.60762010206766,399.0679669524798,2060.3456296645463,6311.865312239967,26675.240132740128,0.0,21.791584031188876,130.11578546675236,4995.268907788409,14230.789439828806,59388.62541256052,0.16990451,0.55808627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.901729583740234,25.07285962790862,0.039883763353698164,0.0015907145792537964,8.50874342167377e-06,6.99075587594825e-09,51.901729583740234
BO11,13.6,3,363711.88049999997,412394.7653999999,0.0,0.0,0.0,0.0,0.0,0.0,2824999.9994211355,174646.09691301797,432678.8722453482,1224836.8620611257,9176044.28534191,24480477.34774193,0.0,3323603.657101386,0.0,27812.639999914772,30621.74149881752,483932.36085702723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5788090487651784,5.198956701660516,16.456369249689907,91.10375496506686,2185.314690109616,0.0,0.0,89.71363669961661,549.5937987575488,960.7451527325079,5199.08958749146,0.0,0.0,170.9661653753127,2550.8135605185994,8181.370917328195,26201.11218132317,0.0,0.00439887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606077194213867,88.66411458994696,0.011278520116337837,0.00012720501601463726,1.6943094551790786e-06,6.525959007447881e-10,4.606077194213867
BO04,25.9,4,371393.86000000034,411716.22100000083,0.0,0.0,0.0,0.0,1973236.0399385495,163115.56809879784,2929510.8021248663,282742.0837031109,776928.6148110934,2695239.205289711,29352868.805648535,10908902.660051731,258921.34867094347,8620967.321793022,0.0,31415.50957359033,0.0,24312.339303092256,8467.452076138254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5638513934090477,23.022924134523404,59.27425071568049,208.26266166508375,3524.1738608006717,0.0,102.25125527974814,849.2655318869196,2369.4287460567675,3634.2496075612316,6955.648040842805,15.334389537056746,189.0786633339931,507.382845406739,7432.81480710562,19565.306338429327,58614.31251569956,0.01035635,0.37990937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.402751922607422,36.810610416916056,0.027166080341347914,0.0007379959211125697,5.079479736573161e-06,2.491332795266416e-09,20.402751922607422
BO14,23.4,5,373838.82239999995,406128.6956999991,0.0,0.0,0.0,0.0,1973236.0399385495,0.0,4458078.345250728,271871.2866769672,679527.7594431542,2299458.1012762217,36546899.047216095,2991239.343423226,821192.0281283108,12295815.648249751,0.0,31415.509573581876,0.0,0.0,105868.30742813475,10870.79700612221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.178332280868301,33.30231067089537,87.50162215583096,322.904632590261,5787.704002997576,0.0,79.98448473930655,190.38243378938805,916.0552000045876,4236.368561787084,14560.048629426004,48.13947777721121,146.69879093847902,920.5910213939941,6248.074615784889,15037.120632697519,54222.76804974125,0.17551840999999999,0.58437866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.250553131103516,29.637812082862524,0.0337406822475344,0.0011384336385290828,0.0002208317330926421,1.283639156904709e-07,33.250553131103516
BO15,37.8,6,371434.82820000034,411688.6015000008,0.0,0.0,0.0,0.0,1973236.0399385495,210242.09204207253,2930900.308631963,282742.08370309655,766684.8008469176,2648458.8723613224,29448196.651678294,10589130.39971852,273207.1913962604,8687942.611530228,0.0,31415.50957358642,0.0,9680.30512659127,18711.26601969034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.563851396847411,23.0748663599855,60.718152705034505,213.5975567677368,3535.82881849836,138.5955452237429,448.35351675028124,921.1172327694694,2317.193155346532,3595.9752100985643,6972.40159930717,20.7453539872754,69.85672092211664,638.3536089660571,7576.582605140677,19244.32087297636,58348.66622795815,0.01035635,0.37990937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.402751922607422,7.038437731087002,0.14207698330316293,0.020185869184527243,5.187680563784616e-06,2.598601788455264e-09,20.402751922607422
BO16,21.2,7,371303.81909999996,411746.6997999996,0.0,0.0,0.0,0.0,1973236.0399385495,97132.75627436712,2929404.60916498,282742.0837031687,785396.0668857371,2749874.0860689,29322989.70682541,11443066.886897052,218692.63609776265,8530479.845487183,0.0,31415.509573580952,0.0,75888.9826507824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.563851393408283,22.825097414697055,56.12914194851577,200.5892831119797,3510.6659160705517,0.0,0.0,285.2999020611651,2376.401156940588,3666.4751576997223,7196.7654594696905,119.92098663831047,310.97524397993124,802.7289660684935,7950.370890780025,19016.58560655734,57701.89267371947,0.01035635,0.37990937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.402751922607422,64.73016716470023,0.01544874737393444,0.00023866379542364624,4.916291989959639e-06,2.3338267758951085e-09,20.402751922607422
BO41,34.7,8,366285.9473000001,406559.5282000005,0.0,0.0,0.0,0.0,413617.2966353821,0.0,3196162.1234351485,227895.97430365722,558718.2014057247,1836166.6384918124,27526926.60199475,1538669.859820857,0.0,5567959.67346505,0.0,31415.509573561263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3064496509492043,11.781394312905189,35.662360121404355,215.81785682813464,3912.468601828811,45.99325594814715,181.03384747057993,421.4331721214757,1314.071482377673,2121.326105983591,11499.761754333014,0.0,50.81179280970515,335.3791319918537,4333.079678316199,10742.294712880896,30029.090818201952,0.0502812,0.00439887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.396533966064453,9.679055467688123,0.10331586623698248,0.010674168216298057,1.0770488577791146e-06,2.637118719224018e-10,10.396533966064453
BO43,36.1,9,365500.9474999998,409885.60529999994,0.0,0.0,0.0,0.0,0.0,1060673.8810726032,3394500.421537488,173894.12433811615,387459.12716429075,919651.673448532,20379596.10753688,14063644.668357927,510994.03157335625,4290682.203777756,322834.19352995954,28255.564335631097,0.0,0.0,40629.036594135105,0.0,3159.9452223622675,108847.95939353871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.565091469914986,38.92716588466619,97.25025093428353,271.8728954232165,3341.8751465961973,69.04186978850916,176.65670221500454,771.0417390623297,1822.5876978695014,3345.1387087821495,7518.111084381431,41.05976430815712,124.3253237282712,358.7836172162111,3851.421053703023,9799.371834349166,36779.1102819105,0.0,0.00439887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.28617858886719,11.182727599787222,0.08942362148023952,0.007996584078641155,2.582860196056416e-06,1.5165637521392058e-09,44.28617858886719
BO44,22.5,10,365598.9534,409843.60569999926,0.0,0.0,0.0,0.0,0.0,952229.8330281099,3394500.421537488,197467.29463516688,376087.0491878432,880897.8288026244,20830882.971045934,13890567.174958568,626863.0924497427,4225778.150802818,272034.39790498366,31415.509573573163,0.0,0.0,104970.28862527365,2907.7707218894425,0.0,82367.0183386611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.565091469653496,42.29400864105449,98.10352805741174,261.211844797908,3379.4324312187127,14.714945922823645,157.28523937690073,417.3185694430705,1504.9864884270262,2861.5580511412863,7367.996262135123,0.0,21.523175916356767,469.32428355401635,4176.505496586582,9104.45676816987,32761.66583131602,0.0,0.00439887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.28617858886719,23.76031535271591,0.042086983491391054,0.0017713141794046235,2.444520400358144e-06,1.3584579648335008e-09,44.28617858886719
